xData,yData,setName,xAxisTitle,yAxisTitle,plotTitle
0,4.418650111,random,Time [sec],Fuel Consumption [kg/hr],WLTC: Fuel Consumption
1,4.190431174,,,,
2,3.520655128,,,,
3,3.809206266,,,,
4,3.946394026,,,,
5,3.835588914,,,,
6,3.586445052,,,,
7,3.600197432,,,,
8,3.185617597,,,,
9,3.155523138,,,,
10,2.979954886,,,,
11,3.489520732,,,,
12,4.553371181,,,,
13,4.879183192,,,,
14,6.928347275,,,,
15,8.483054712,,,,
16,7.648952027,,,,
17,5.82312438,,,,
18,5.927127974,,,,
19,5.728001625,,,,
20,5.423978655,,,,
21,6.132553082,,,,
22,5.570162055,,,,
23,4.767057898,,,,
24,5.498961279,,,,
25,5.678024684,,,,
26,6.255038505,,,,
27,7.063174406,,,,
28,6.855802026,,,,
29,5.947829636,,,,
30,4.639592722,,,,
31,4.818614542,,,,
32,4.211953382,,,,
33,2.260921499,,,,
34,1.283526778,,,,
35,1.120242023,,,,
36,1.140971931,,,,
37,1.151705467,,,,
38,1.107528556,,,,
39,1.036225792,,,,
40,0.945169211,,,,
41,1.156663475,,,,
42,1.302078119,,,,
43,1.567374968,,,,
44,1.761355137,,,,
45,1.845377252,,,,
46,1.919209833,,,,
47,2.044892656,,,,
48,2.039089729,,,,
49,2.046434048,,,,
50,2.080735304,,,,
51,2.095393462,,,,
52,1.882580227,,,,
53,1.550194418,,,,
54,1.330149766,,,,
55,1.570269477,,,,
56,2.376750822,,,,
57,3.167297255,,,,
58,2.615894528,,,,
59,2.150283022,,,,
60,2.528744018,,,,
61,2.7790868,,,,
62,2.690724521,,,,
63,2.616927468,,,,
64,2.574359671,,,,
65,2.705206937,,,,
66,3.510360167,,,,
67,5.059996191,,,,
68,7.968910687,,,,
69,6.733583651,,,,
70,4.735639579,,,,
71,3.880812131,,,,
72,4.442042876,,,,
73,4.489882352,,,,
74,3.909418001,,,,
75,3.815840156,,,,
76,3.330058323,,,,
77,2.636976169,,,,
78,2.295107408,,,,
79,2.039866816,,,,
80,1.503381319,,,,
81,1.812869888,,,,
82,2.468640973,,,,
83,2.865064478,,,,
84,2.174842595,,,,
85,1.41968346,,,,
86,1.133570286,,,,
87,1.077148126,,,,
88,1.0107768,,,,
89,1.028454436,,,,
90,1.022229671,,,,
91,0.972343733,,,,
92,1.257594006,,,,
93,1.456531971,,,,
94,1.477162575,,,,
95,1.43155248,,,,
96,1.44557759,,,,
97,1.442451085,,,,
98,1.436142947,,,,
99,1.44406934,,,,
100,1.456105376,,,,
101,1.458881429,,,,
102,1.446524349,,,,
103,1.433017422,,,,
104,1.454595134,,,,
105,1.449180684,,,,
106,1.439804609,,,,
107,1.43789877,,,,
108,1.461027003,,,,
109,1.444465622,,,,
110,1.437142534,,,,
111,1.439434163,,,,
112,1.43971751,,,,
113,1.445341234,,,,
114,1.4353185,,,,
115,1.445822689,,,,
116,1.439933947,,,,
117,1.446849968,,,,
118,1.440428897,,,,
119,1.445627598,,,,
120,1.437975106,,,,
121,1.431981157,,,,
122,1.42877347,,,,
123,1.42388187,,,,
124,1.435514677,,,,
125,1.438984795,,,,
126,1.438183836,,,,
127,1.430613826,,,,
128,1.43204085,,,,
129,1.428864602,,,,
130,1.420804613,,,,
131,1.439897477,,,,
132,1.451806556,,,,
133,1.399535438,,,,
134,1.406231273,,,,
135,1.414158254,,,,
136,1.524753068,,,,
137,3.19356287,,,,
138,4.544205906,,,,
139,4.218404105,,,,
140,4.775804282,,,,
141,4.733736367,,,,
142,3.795815323,,,,
143,3.220800836,,,,
144,3.900985954,,,,
145,4.742880729,,,,
146,5.145670406,,,,
147,3.550631024,,,,
148,1.564793011,,,,
149,1.018071252,,,,
150,1.009514168,,,,
151,0.97229862,,,,
152,0.920738386,,,,
153,0.874453617,,,,
154,1.661066865,,,,
155,2.640817707,,,,
156,3.839116661,,,,
157,4.340848956,,,,
158,4.357050856,,,,
159,4.443744774,,,,
160,4.632039184,,,,
161,5.150947608,,,,
162,5.388479183,,,,
163,4.738823763,,,,
164,3.916483527,,,,
165,4.390273639,,,,
166,4.995652013,,,,
167,3.454170802,,,,
168,1.74417562,,,,
169,1.211447437,,,,
170,1.112090987,,,,
171,0.921184823,,,,
172,1.081632653,,,,
173,1.205022903,,,,
174,2.604447561,,,,
175,3.612856437,,,,
176,4.109955145,,,,
177,3.597002376,,,,
178,2.111534632,,,,
179,1.20041874,,,,
180,1.005688242,,,,
181,0.995708726,,,,
182,0.840615712,,,,
183,0.969406906,,,,
184,1.133819641,,,,
185,1.199092885,,,,
186,1.201703378,,,,
187,1.098960291,,,,
188,1.505834048,,,,
189,1.528970053,,,,
190,1.191887718,,,,
191,1.202636323,,,,
192,1.723211495,,,,
193,1.389810908,,,,
194,1.081336674,,,,
195,1.351971341,,,,
196,1.549041211,,,,
197,1.91898092,,,,
198,2.444585564,,,,
199,3.012943785,,,,
200,3.09552749,,,,
201,3.365456167,,,,
202,4.289716046,,,,
203,4.668287591,,,,
204,4.911128122,,,,
205,5.047385683,,,,
206,5.51866029,,,,
207,5.112204602,,,,
208,4.485495166,,,,
209,5.181428581,,,,
210,5.279544509,,,,
211,5.339321769,,,,
212,5.623566278,,,,
213,5.218723754,,,,
214,5.372480824,,,,
215,5.596836319,,,,
216,5.69837314,,,,
217,5.783300208,,,,
218,5.641608909,,,,
219,4.86875306,,,,
220,4.222905827,,,,
221,4.348285594,,,,
222,4.492796652,,,,
223,4.438094432,,,,
224,4.070241236,,,,
225,3.698062765,,,,
226,3.624638355,,,,
227,3.497169864,,,,
228,2.546752272,,,,
229,1.16914407,,,,
230,0.995366803,,,,
231,0.880053442,,,,
232,1.198521176,,,,
233,1.249960141,,,,
234,1.206571718,,,,
235,1.098655016,,,,
236,0.895819326,,,,
237,0.999319728,,,,
238,0.957823129,,,,
239,0.911564626,,,,
240,0.87755102,,,,
241,0.844897959,,,,
242,0.911564626,,,,
243,0.8705895,,,,
244,0.938812136,,,,
245,1.015179561,,,,
246,1.274862022,,,,
247,1.413477021,,,,
248,1.534620211,,,,
249,1.732560506,,,,
250,1.913051887,,,,
251,1.895112919,,,,
252,1.938478027,,,,
253,1.936328375,,,,
254,1.925769316,,,,
255,2.046251277,,,,
256,3.296247318,,,,
257,3.982487539,,,,
258,4.561364735,,,,
259,4.971180784,,,,
260,6.255750319,,,,
261,7.628316505,,,,
262,7.513261639,,,,
263,6.931066751,,,,
264,6.706330566,,,,
265,5.46436885,,,,
266,4.330412852,,,,
267,4.331173948,,,,
268,3.675200843,,,,
